,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM)
674,0.9230769230769231,0.04688835144042969,0.9370629370629371,0.0,0.986013986013986,0.1727156639099121,0.9370629370629371,0.0,0.9440559440559441,0.7568323612213135
675,0.951048951048951,0.046895503997802734,0.9370629370629371,0.015630006790161133,0.993006993006993,0.17641592025756836,0.972027972027972,0.0,0.972027972027972,0.7792110443115234
676,0.9440559440559441,0.05389761924743652,0.9300699300699301,0.0,0.9300699300699301,0.16571044921875,0.9370629370629371,0.0,0.958041958041958,0.6985299587249756
677,0.965034965034965,0.03165030479431152,0.916083916083916,0.0,0.9440559440559441,0.17232131958007812,0.9440559440559441,0.0,0.972027972027972,0.8436353206634521
678,0.958041958041958,0.04688882827758789,0.9300699300699301,0.011011838912963867,0.958041958041958,0.20277833938598633,0.951048951048951,0.0010006427764892578,0.9790209790209791,1.0620884895324707
679,0.965034965034965,0.06140422821044922,0.9440559440559441,0.0,0.972027972027972,0.1883537769317627,0.9300699300699301,0.0,0.951048951048951,0.627310037612915
680,0.9300699300699301,0.039772748947143555,0.9090909090909091,0.01563096046447754,0.958041958041958,0.1924610137939453,0.9440559440559441,0.0010004043579101562,0.958041958041958,1.4708516597747803
681,0.9370629370629371,0.04688715934753418,0.8881118881118881,0.0,0.9370629370629371,0.17272377014160156,0.916083916083916,0.0,0.951048951048951,1.7852797508239746
682,0.951048951048951,0.05190157890319824,0.9300699300699301,0.0,0.951048951048951,0.17233514785766602,0.9230769230769231,0.0015113353729248047,0.951048951048951,0.5610227584838867
683,0.9440559440559441,0.06900453567504883,0.9440559440559441,0.007999181747436523,0.986013986013986,0.22101712226867676,0.9440559440559441,0.001001119613647461,0.9370629370629371,0.8727226257324219
684,0.958041958041958,0.05016636848449707,0.9300699300699301,0.012507438659667969,0.9440559440559441,0.15670013427734375,0.958041958041958,0.0,0.9790209790209791,2.5084853172302246
685,0.916083916083916,0.031647682189941406,0.916083916083916,0.015629053115844727,0.958041958041958,0.1566941738128662,0.9440559440559441,0.0,0.9300699300699301,1.6040802001953125
686,0.972027972027972,0.035775184631347656,0.965034965034965,0.0,0.965034965034965,0.16470694541931152,0.9440559440559441,0.0,0.965034965034965,3.3453829288482666
687,0.9370629370629371,0.04725170135498047,0.8881118881118881,0.0,0.972027972027972,0.1913604736328125,0.9440559440559441,0.0019948482513427734,0.9440559440559441,1.095832109451294
688,0.9230769230769231,0.03126239776611328,0.8951048951048951,0.01563119888305664,0.951048951048951,0.15708661079406738,0.9230769230769231,0.0,0.916083916083916,0.6266152858734131
689,0.9790209790209791,0.047278404235839844,0.916083916083916,0.01563549041748047,0.958041958041958,0.15669584274291992,0.9300699300699301,0.0,0.9790209790209791,0.4840381145477295
690,0.9370629370629371,0.047051191329956055,0.9090909090909091,0.0,0.9440559440559441,0.17272353172302246,0.9300699300699301,0.0,0.951048951048951,1.332780361175537
691,0.958041958041958,0.05239987373352051,0.958041958041958,0.0,0.993006993006993,0.1683979034423828,0.972027972027972,0.01562952995300293,0.965034965034965,0.872812032699585
692,0.958041958041958,0.047272443771362305,0.9370629370629371,0.0,0.993006993006993,0.1723341941833496,0.951048951048951,0.0,0.972027972027972,0.9905962944030762
693,0.9020979020979021,0.04687952995300293,0.9300699300699301,0.0,0.9230769230769231,0.17232823371887207,0.9090909090909091,0.0,0.9090909090909091,0.4943888187408447
694,0.958041958041958,0.047283172607421875,0.965034965034965,0.0,0.986013986013986,0.17884349822998047,0.9440559440559441,0.0,0.972027972027972,1.4217169284820557
695,0.9370629370629371,0.04688405990600586,0.9230769230769231,0.0,0.9440559440559441,0.1712329387664795,0.9370629370629371,0.0,0.958041958041958,0.9138154983520508
696,0.9230769230769231,0.0316469669342041,0.9440559440559441,0.01563119888305664,0.958041958041958,0.15669822692871094,0.9440559440559441,0.015628814697265625,0.9370629370629371,0.9606053829193115
697,0.9370629370629371,0.03125715255737305,0.9230769230769231,0.0,0.958041958041958,0.17272090911865234,0.9300699300699301,0.0,0.9370629370629371,0.651007890701294
698,0.9440559440559441,0.03125953674316406,0.9300699300699301,0.0,0.965034965034965,0.1727135181427002,0.9300699300699301,0.0,0.965034965034965,1.6194188594818115
699,0.958041958041958,0.031238079071044922,0.9230769230769231,0.0,0.9370629370629371,0.1567096710205078,0.9230769230769231,0.0,0.958041958041958,1.443878173828125
700,0.958041958041958,0.0468907356262207,0.965034965034965,0.0,0.9790209790209791,0.17221522331237793,0.951048951048951,0.0,0.965034965034965,1.3069031238555908
701,0.9300699300699301,0.04839897155761719,0.9230769230769231,0.0,0.958041958041958,0.18684124946594238,0.9370629370629371,0.0,0.951048951048951,1.3492815494537354
702,0.9230769230769231,0.04705500602722168,0.9370629370629371,0.0,0.958041958041958,0.19297146797180176,0.9300699300699301,0.002001047134399414,0.9300699300699301,1.5038037300109863
703,0.972027972027972,0.0310213565826416,0.9440559440559441,0.015631675720214844,0.972027972027972,0.19437479972839355,0.951048951048951,0.0,0.993006993006993,0.9307551383972168
704,0.9300699300699301,0.03125905990600586,0.9370629370629371,0.0,0.986013986013986,0.14146065711975098,0.951048951048951,0.015630245208740234,0.951048951048951,0.9136192798614502
705,0.9300699300699301,0.04727625846862793,0.9370629370629371,0.0,0.986013986013986,0.1920914649963379,0.9300699300699301,0.0,0.9300699300699301,1.0769097805023193
706,0.951048951048951,0.0316469669342041,0.916083916083916,0.01563096046447754,0.958041958041958,0.15669631958007812,0.9300699300699301,0.0,0.951048951048951,0.32840466499328613
707,0.9370629370629371,0.04687333106994629,0.9300699300699301,0.015629053115844727,0.951048951048951,0.15708613395690918,0.916083916083916,0.0,0.9440559440559441,0.846642255783081
708,0.951048951048951,0.04688763618469238,0.9230769230769231,0.015632152557373047,0.972027972027972,0.17271184921264648,0.9440559440559441,0.0,0.958041958041958,1.020550012588501
709,0.9440559440559441,0.04727911949157715,0.9020979020979021,0.0,0.951048951048951,0.17433571815490723,0.9300699300699301,0.0,0.9230769230769231,1.8911125659942627
710,0.9230769230769231,0.038274288177490234,0.9020979020979021,0.015630006790161133,0.958041958041958,0.17271828651428223,0.9440559440559441,0.0010027885437011719,0.9300699300699301,1.2719557285308838
711,0.9790209790209791,0.04687237739562988,0.951048951048951,0.015630722045898438,0.972027972027972,0.19931936264038086,0.9370629370629371,0.0009982585906982422,0.9790209790209791,0.8305518627166748
712,0.958041958041958,0.046872615814208984,0.951048951048951,0.0,0.965034965034965,0.1727156639099121,0.9440559440559441,0.0,0.958041958041958,0.8958897590637207
713,0.9300699300699301,0.04727339744567871,0.9230769230769231,0.0,0.951048951048951,0.19747519493103027,0.9230769230769231,0.0009999275207519531,0.9440559440559441,0.8315799236297607
714,0.958041958041958,0.04688525199890137,0.9020979020979021,0.00551152229309082,0.9370629370629371,0.15157747268676758,0.9230769230769231,0.015630245208740234,0.9790209790209791,0.5111992359161377
715,0.965034965034965,0.047287702560424805,0.951048951048951,0.0,0.972027972027972,0.18834733963012695,0.951048951048951,0.0010004043579101562,0.972027972027972,1.7968175411224365
716,0.9300699300699301,0.05790281295776367,0.9300699300699301,0.005009889602661133,0.9370629370629371,0.17232871055603027,0.9440559440559441,0.0,0.951048951048951,1.123725414276123
717,0.9440559440559441,0.0468897819519043,0.9370629370629371,0.0,0.993006993006993,0.17271876335144043,0.951048951048951,0.0,0.965034965034965,2.3408145904541016
718,0.916083916083916,0.046880245208740234,0.9370629370629371,0.0,0.9370629370629371,0.1727287769317627,0.9440559440559441,0.0,0.9230769230769231,0.7613320350646973
719,0.958041958041958,0.04728102684020996,0.951048951048951,0.0,0.965034965034965,0.1753406524658203,0.958041958041958,0.0,0.958041958041958,1.4085161685943604
