,Unnamed: 0,Time(Log_Reg),Time(Lasso_Reg),Time(ELastic_Reg),Time(Rid_Reg),Accuracy(Log_Reg),Accuracy(Lasso_Reg),Accuracy(Elastic_Reg),Accuracy(Rid_Reg),MSE(Log_Reg),MSE(Lasso_Reg),MSE(Elastic_Reg),MSE(Rid_Reg),R-sq(Log_Reg),R-sq(Lasso_Reg),R-sq(Elastic_Reg),R-sq(Rid_Reg)
306,306,0.0359973907470703,0.0009999275207519,0.0,0.0009980201721191,0.9210526315789472,0.9223716865614942,0.9213388874258708,0.9273969574957374,0.0789473684210526,0.1470214949480073,0.1471324496354908,0.143812438970237,0.8655660377358491,0.9223716865614942,0.9213388874258708,0.9273969574957374
307,307,0.0260024070739746,0.0,0.0,0.0010030269622802,0.9210526315789472,0.9272745547617264,0.9241994110644336,0.9308411271249296,0.0789473684210526,0.1632957736523965,0.1648152705607055,0.1628994979861945,0.8793650793650793,0.9272745547617264,0.9241994110644336,0.9308411271249296
308,308,0.0360019207000732,0.0,0.0009996891021728,0.001000165939331,1.0,0.9369159010089828,0.9344317195230004,0.939415099430818,0.0,0.1555449054617097,0.1594233401886938,0.1579314500785077,1.0,0.9369159010089828,0.9344317195230004,0.939415099430818
309,309,0.0270013809204101,0.0009996891021728,0.0010004043579101,0.0,0.9736842105263158,0.8809849677313711,0.8765087442146897,0.8847713189606353,0.0263157894736842,0.2204835043012354,0.2257073110843881,0.2187925873578944,0.9560693641618496,0.8809849677313711,0.8765087442146897,0.8847713189606353
310,310,0.0250029563903808,0.0010004043579101,0.0,0.001000165939331,0.9736842105263158,0.9245095011341988,0.9271345080566684,0.927462211603022,0.0263157894736842,0.1789641499269145,0.1720106370526938,0.1825182085023083,0.962037962037962,0.9245095011341988,0.9271345080566684,0.927462211603022
311,311,0.0290014743804931,0.0010006427764892,0.0009994506835937,0.0009982585906982,0.9736842105263158,0.9415163414662636,0.9403947032270268,0.9460161262178304,0.0263157894736842,0.1622334902718359,0.1614121461557619,0.1555803580262842,0.9641509433962264,0.9415163414662636,0.9403947032270268,0.9460161262178304
312,312,0.0240015983581542,0.0,0.0,0.0,1.0,0.932188118282941,0.928478898997864,0.934173900839763,0.0,0.1648296049665335,0.1688785331151646,0.164309914545772,1.0,0.932188118282941,0.928478898997864,0.934173900839763
313,313,0.0280017852783203,0.0,0.0010027885437011,0.0,0.9736842105263158,0.9094398954230944,0.9065620689651372,0.9108025157607186,0.0263157894736842,0.1919023092682774,0.1948045849265935,0.1945922873218771,0.9615384615384616,0.9094398954230944,0.9065620689651372,0.9108025157607186
314,314,0.0260004997253417,0.0009999275207519,0.0,0.0009984970092773,0.9210526315789472,0.922743074687584,0.9261587689579792,0.9241279684214018,0.0789473684210526,0.1732757734892475,0.1687566036608435,0.1765800150781917,0.8924528301886793,0.922743074687584,0.9261587689579792,0.9241279684214018
315,315,0.0250017642974853,0.0009999275207519,0.0010004043579101,0.001000165939331,0.9473684210526316,0.8942004094169305,0.9007905542743108,0.8758716074819395,0.0526315789473684,0.1900154085440443,0.1793609526420399,0.2147970841809085,0.9151785714285714,0.8942004094169305,0.9007905542743108,0.8758716074819395
